Dataset,Model,Feature_Set,Num_Features,Train_Time_Sec,Inference_Time_Sec,Memory_Usage_MB,Accuracy,F1_Score
Class_1,Random Forest,Full,48,0.4614407539367676,0.013117837905883788,0.0,0.9342915811088297,0.9330543933054394
Class_1,Random Forest,Hybrid,25,0.464113187789917,0.01276383399963379,0.0,0.9301848049281315,0.9282700421940927
Class_1,XGBoost,Full,48,0.18144536018371582,0.016538095474243165,0.0,0.9301848049281315,0.9285714285714285
Class_1,XGBoost,Hybrid,25,0.14563899040222167,0.009910869598388671,0.0,0.9322381930184805,0.9308176100628931
Class_2,Random Forest,Full,48,0.4846177577972412,0.012540912628173828,0.0,0.915811088295688,0.9106753812636164
Class_2,Random Forest,Hybrid,25,0.48965301513671877,0.01232161521911621,0.0,0.9034907597535934,0.89760348583878
Class_2,XGBoost,Full,48,0.17979626655578612,0.015767526626586915,0.0,0.9281314168377823,0.925053533190578
Class_2,XGBoost,Hybrid,25,0.14236955642700194,0.012193059921264649,0.0,0.9260780287474333,0.923728813559322
Class_3,Random Forest,Full,48,0.4492632865905762,0.012390041351318359,0.0,0.9240246406570842,0.9255533199195171
Class_3,Random Forest,Hybrid,25,0.46256518363952637,0.012356901168823242,0.0,0.9363449691991785,0.937875751503006
Class_3,XGBoost,Full,48,0.17667608261108397,0.015755748748779295,0.0,0.9507186858316222,0.9512195121951219
Class_3,XGBoost,Hybrid,25,0.1394444465637207,0.010074520111083984,0.0,0.9404517453798767,0.9414141414141415
Full_Dataset,Random Forest,Full,48,1.2187420845031738,0.02910313606262207,0.0,0.8863013698630138,0.8807471264367817
Full_Dataset,Random Forest,Hybrid,25,1.2428460121154785,0.026345443725585938,0.0,0.8794520547945206,0.8739255014326648
Full_Dataset,XGBoost,Full,48,0.24649786949157715,0.01760239601135254,0.0,0.8952054794520548,0.8929321203638908
Full_Dataset,XGBoost,Hybrid,25,0.18301796913146973,0.01105356216430664,0.0,0.8945205479452054,0.8923076923076924
