Model,Features,Accuracy,Precision,Recall,F1 Score
Random Forest,48,0.8804812829203714,0.8837482038693085,0.8804812829203714,0.8802263236946345
Random Forest,43,0.8800712629216859,0.8833729162783769,0.8800712629216859,0.879815278886203
Random Forest,38,0.878425643384942,0.8818364838886508,0.878425643384942,0.8781560025143375
Random Forest,33,0.8759586693832329,0.8793469221037198,0.8759586693832329,0.8756841230801286
Random Forest,28,0.8748625911911893,0.878175843232284,0.8748625911911893,0.8745880584285801
Random Forest,23,0.8723949599556837,0.8758674726299415,0.8723949599556837,0.8721007015191864
Random Forest,18,0.8612938116743502,0.8650090779608242,0.8612938116743502,0.8609392047371053
Random Forest,13,0.8556736176964895,0.8582467243899659,0.8556736176964895,0.8554160170704275
Random Forest,8,0.8325108208850123,0.8350612786330496,0.8325108208850123,0.83219032635204
Random Forest,3,0.7482187086294798,0.7495839593448773,0.7482187086294798,0.7478675080787326
XGBoost,48,0.9004935825814266,0.9011173113111711,0.9004935825814266,0.9004539771858407
XGBoost,43,0.9004935825814266,0.9011173113111711,0.9004935825814266,0.9004539771858407
XGBoost,38,0.9004935825814266,0.9011173113111711,0.9004935825814266,0.9004539771858407
XGBoost,33,0.9026862084182261,0.9031483149514861,0.9026862084182261,0.9026582683983815
XGBoost,28,0.9007676490747087,0.9013559869506546,0.9007676490747087,0.9007312801775452
XGBoost,23,0.8967918540565408,0.8972758429992671,0.8967918540565408,0.8967594140234194
XGBoost,18,0.8930923789046729,0.8937986282345822,0.8930923789046729,0.8930452222538232
XGBoost,13,0.8810295097974781,0.881581413057593,0.8810295097974781,0.8809841806946948
XGBoost,8,0.8438865051123401,0.846344338297883,0.8438865051123401,0.84360911734318
XGBoost,3,0.7794687673110687,0.7902818530930853,0.7794687673110687,0.777380537875685
