Model,Feature_Removed,Accuracy,Precision,Recall,F1_Score,F1_Change,F1_Change_Percent
Random Forest,None (Baseline),0.8780821917808219,0.9169184290030211,0.8315068493150685,0.8721264367816092,0.0,
XGBoost,None (Baseline),0.8945205479452055,0.9114285714285715,0.873972602739726,0.8923076923076924,0.0,
Random Forest,rare_ases_avg,0.8753424657534247,0.9202453987730062,0.821917808219178,0.8683068017366137,-0.0038196350449954952,-0.437968038108215
XGBoost,rare_ases_avg,0.8883561643835617,0.902127659574468,0.8712328767123287,0.886411149825784,-0.005896542481908407,-0.6608194160759421
Random Forest,edit_distance_avg,0.8767123287671232,0.9166666666666666,0.8287671232876712,0.8705035971223022,-0.001622839659306985,-0.186078484823338
XGBoost,edit_distance_avg,0.8897260273972603,0.90014064697609,0.8767123287671232,0.8882720333102011,-0.004035658997491254,-0.45227212902919217
Random Forest,dups,0.8609589041095891,0.8998482549317147,0.8123287671232877,0.8538516918646509,-0.01827474491695824,-2.095423799374454
XGBoost,dups,0.886986301369863,0.9076479076479076,0.8616438356164383,0.8840477863668305,-0.0082599059408619,-0.9256791140621095
Random Forest,nlri_ann,0.8767123287671232,0.9166666666666666,0.8287671232876712,0.8705035971223022,-0.001622839659306985,-0.186078484823338
XGBoost,nlri_ann,0.8938356164383562,0.9101283880171184,0.873972602739726,0.8916841369671558,-0.0006235553405365968,-0.06988120195668757
Random Forest,imp_wd_spath,0.876027397260274,0.9152798789712556,0.8287671232876712,0.8698777857656361,-0.0022486510159730466,-0.2578354377458386
XGBoost,imp_wd_spath,0.8897260273972603,0.9035460992907801,0.8726027397260274,0.8878048780487804,-0.004502814258911969,-0.5046257359125482
