Feature,ANOVA_F_score,Mutual_Information,Random_Forest_Importance,XGBoost_Importance,RFE_Ranking,Lasso_Coefficient
ann_to_longer,40.882800784718704,0.10785248105668055,0.018558130634376283,0.009092774,9,0.0
ann_to_shorter,40.87298384923971,0.10791567473506491,0.017204767006372287,0.007885494,6,0.0
announcements,74.82880954649873,0.1548877613731856,0.0537959971050847,0.009208042,1,0.0
as_path_avg,64.9344332876293,0.015279662577007747,0.013326001094559054,0.008945561,10,-0.026734705818917064
as_path_max,391.07693542611963,0.06035642608219183,0.016076654594846453,0.013027103,9,0.027093221537054426
dups,109.27871725189175,0.11091701360422035,0.04302976232766892,0.040018987,1,-0.0
edit_distance_avg,426.1892524183943,0.0787429340705812,0.027783166835569154,0.010447089,1,-0.09462678199958971
edit_distance_dict_0,120.94241875465107,0.12100440327919304,0.025449817197489347,0.011265356,4,-0.0
edit_distance_dict_1,106.8299814886034,0.17794054838757778,0.05387439028581161,0.027887426,1,0.0
edit_distance_dict_10,27.07836919471716,0.016234068573746985,0.0025282953832596634,0.012964955,19,-0.009741209714960375
edit_distance_dict_2,38.62739804112874,0.13368683067657994,0.03144863072935539,0.013484876,5,0.0
edit_distance_dict_3,31.76729190506891,0.0851564829600584,0.014463311443337002,0.010186119,8,0.0
edit_distance_dict_4,87.4342208829124,0.08326245424697909,0.009931604934609307,0.011204926,12,-0.0
edit_distance_dict_5,63.64462385244455,0.0759207277175531,0.007983397013276532,0.015861861,14,0.0
edit_distance_dict_6,130.60967624773963,0.06658556537486904,0.008457692681982265,0.014966717,15,0.0
edit_distance_dict_7,126.81611100589485,0.04089535251580845,0.00440680775904862,0.0086059505,17,-0.0
edit_distance_dict_8,85.74577300201982,0.02039842131124603,0.002926163346939256,0.009586818,18,-0.0011730005044056652
edit_distance_dict_9,21.051545714292235,0.03524311585807394,0.006044591059408477,0.03323942,16,0.0
edit_distance_max,291.0674368437469,0.05916448757138282,0.019734570224958954,0.014719338,7,0.03898488497631251
edit_distance_unique_dict_0,120.94241875465107,0.12434000110056531,0.027019698774449003,0.0,6,-0.0
edit_distance_unique_dict_1,106.8299814886034,0.16590002462466313,0.05346908738346597,0.0,1,0.0
edit_distance_unique_dict_10,27.07836919471716,0.015343776158830202,0.0020707698330923417,0.0,20,-0.00014844087360934584
edit_distance_unique_dict_2,38.62739804112874,0.1279981593025945,0.024539017599105147,0.0,5,0.0
edit_distance_unique_dict_3,31.76729190506891,0.10019676258185228,0.018173964859582482,0.0,11,0.0
edit_distance_unique_dict_4,87.4342208829124,0.08061002697721942,0.011700757913752335,0.0,13,-0.0
edit_distance_unique_dict_5,63.64462385244455,0.07311378634331489,0.007642472386674411,0.0,14,0.0
edit_distance_unique_dict_6,130.60967624773963,0.07412952009158347,0.007381528294232708,0.0,12,0.0
edit_distance_unique_dict_7,126.81611100589485,0.05279222345256862,0.004297021554587636,0.0,18,-0.0
edit_distance_unique_dict_8,85.74577300201982,0.022665597205806742,0.002866708159115551,0.0,19,-3.493139502681947e-07
edit_distance_unique_dict_9,21.051545714292235,0.03678653435836976,0.004613802355959149,0.0,15,0.0
flaps,39.53222617238147,0.08954846161026375,0.02736741246642911,0.026956813,3,0.0
imp_wd,64.58706135330306,0.14926365874936098,0.03915580381416747,0.016900877,1,0.0
imp_wd_dpath,52.57922183055366,0.17205501439700654,0.05882445557388153,0.20279182,1,0.0
imp_wd_spath,239.27801984849887,0.13389620542773195,0.04438710136210884,0.052451864,2,-0.0
nadas,42.68163507667032,0.11417871169435645,0.040057327390759616,0.04040826,1,0.0
news,28.196557861998123,0.010275572097367736,0.004721717471340857,0.010285198,16,0.0021709121400671646
nlri_ann,646.5106115501242,0.1557786067062361,0.044976878758764556,0.04941475,1,0.06663433968732017
number_rare_ases,115.37436084486046,0.0511948114066596,0.011777472494472075,0.023195066,11,-0.0
origin_0,358.9025494812245,0.15143605987025022,0.03699991288368368,0.03897632,1,-0.0
origin_1,123.89710448056401,0.020798863069088736,0.001299775674495204,0.014844759,20,-0.0
origin_2,171.2966794161634,0.10111414868571189,0.02953796679089988,0.02849204,3,-0.0
origin_changes,142.3907748933914,0.05254908204778119,0.015977671578227142,0.019754706,8,-0.0
rare_ases_avg,507.0344408007347,0.11481721110366361,0.020298930636975902,0.032313544,4,-0.0880198321177399
rare_ases_max,0.5493235983665656,0.005829822031629517,0.009351412964649699,0.018146804,13,-0.0
unique_as_path_avg,53.734432444418665,0.006291605225677843,0.013603981855328432,0.019283388,10,-0.0
unique_as_path_max,281.8621031841627,0.06687036245197153,0.02026435335899113,0.026853343,7,0.039401962644581144
wd_dups,94.91903202214733,0.03416267134970319,0.005418702789188681,0.07060507,17,0.014831889131783233
withdrawals,57.915295868575065,0.09515352934828947,0.03518054136366612,0.025726568,2,0.0
