,Class_1 | ANOVA_F_score,Class_3 | ANOVA_F_score,Class_3 | XGBoost,Class_1 | Random_Forest,Class_1 | Mutual_Information,Class_1 | XGBoost,Class_2 | Random_Forest,Class_2 | Mutual_Information,Class_3 | Gini_Decision_Tree,Class_3 | Random_Forest,Class_3 | Mutual_Information,Class_1 | Gini_Decision_Tree,Class_2 | ANOVA_F_score,Class_2 | XGBoost,Class_2 | Gini_Decision_Tree,Total_Top10_Appearances
nlri_ann,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,13
imp_wd_dpath,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,11
edit_distance_dict_1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,11
imp_wd_spath,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,11
dups,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,11
edit_distance_unique_dict_1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,10
origin_0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,10
announcements,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,8
origin_2,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,6
unique_as_path_max,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,5
edit_distance_avg,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,5
edit_distance_unique_dict_0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,5
flaps,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,5
edit_distance_dict_0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,5
rare_ases_avg,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4
imp_wd,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4
wd_dups,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3
unique_as_path_avg,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3
rare_ases_max,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
ann_to_longer,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
withdrawals,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
origin_changes,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
edit_distance_dict_9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
edit_distance_unique_dict_6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
edit_distance_dict_10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
edit_distance_dict_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
edit_distance_unique_dict_3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
as_path_avg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
edit_distance_dict_6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ann_to_shorter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
