Feature,Gini_Importance
edit_distance_dict_1,0.1181444087483044
flaps,0.10272356218513282
dups,0.08441370809668494
edit_distance_unique_dict_1,0.07694446744993785
imp_wd_spath,0.0627250498441826
nlri_ann,0.056804226771385184
imp_wd_dpath,0.04835776091911695
origin_0,0.047180904686733076
imp_wd,0.045431372873046556
announcements,0.04379244081963947
rare_ases_avg,0.03577082911034615
withdrawals,0.034416309005721915
edit_distance_dict_0,0.027335724015104083
edit_distance_unique_dict_0,0.022791321323939528
origin_2,0.02189601488031331
edit_distance_dict_2,0.021438227292024284
edit_distance_dict_6,0.020955117101424923
edit_distance_avg,0.02023790536491889
origin_changes,0.020187447406879656
nadas,0.017812438323622077
unique_as_path_max,0.016768830420231008
as_path_max,0.016294829168563774
edit_distance_dict_4,0.013523292638354887
edit_distance_max,0.012290256368453784
number_rare_ases,0.011763555185937696
