Model,Feature_Type,Feature_Count,F1_Score,Neg_F1_Score,Training_Time,Inference_Time,Complexity,Dataset
Random Forest,Hybrid,5,0.8274848489886856,-0.8274848489886856,1.093303918838501,0.040527510643005374,1750,Class_1
Random Forest,Hybrid,10,0.9116931417142587,-0.9116931417142587,1.255971908569336,0.038781476020812986,3500,Class_1
Random Forest,Hybrid,15,0.9219350440257744,-0.9219350440257744,1.1998977661132812,0.03947227001190186,5250,Class_1
Random Forest,Hybrid,20,0.9219574316853577,-0.9219574316853577,1.3625223636627197,0.0394176721572876,7000,Class_1
Random Forest,Hybrid,25,0.9239957976521327,-0.9239957976521327,1.5588676929473877,0.038544869422912596,8750,Class_1
XGBoost,Hybrid,5,0.8316008758850443,-0.8316008758850443,0.20404624938964844,0.004053425788879394,1000,Class_1
XGBoost,Hybrid,10,0.9116931417142587,-0.9116931417142587,0.16628313064575195,0.005661797523498535,2000,Class_1
XGBoost,Hybrid,15,0.9219574316853577,-0.9219574316853577,0.17601513862609863,0.0067455053329467775,3000,Class_1
XGBoost,Hybrid,20,0.9240239999608656,-0.9240239999608656,0.18100309371948242,0.007993817329406738,4000,Class_1
XGBoost,Hybrid,25,0.928127780269837,-0.928127780269837,0.22759056091308594,0.00935955047607422,5000,Class_1
Random Forest,Full,5,0.7491989983405074,-0.7491989983405074,1.027672529220581,0.043100953102111816,1750,Class_1
Random Forest,Full,10,0.8583090525319644,-0.8583090525319644,1.215472936630249,0.04042472839355469,3500,Class_1
Random Forest,Full,15,0.8685720789233078,-0.8685720789233078,1.195094347000122,0.04150047302246094,5250,Class_1
Random Forest,Full,20,0.8747369884702875,-0.8747369884702875,1.3160970211029053,0.04110660552978516,7000,Class_1
Random Forest,Full,25,0.8788490810186775,-0.8788490810186775,1.5123305320739746,0.039974212646484375,8750,Class_1
Random Forest,Full,30,0.8767967145790554,-0.8767967145790554,1.4463138580322266,0.04047703742980957,10500,Class_1
Random Forest,Full,35,0.9034679659809872,-0.9034679659809872,1.428551435470581,0.039557576179504395,12250,Class_1
Random Forest,Full,40,0.9240207962852564,-0.9240207962852564,1.576155662536621,0.03898124694824219,14000,Class_1
XGBoost,Full,5,0.7572703199270381,-0.7572703199270381,0.23190593719482422,0.004286742210388184,1000,Class_1
XGBoost,Full,10,0.866528648579899,-0.866528648579899,0.18931293487548828,0.005701375007629394,2000,Class_1
XGBoost,Full,15,0.8726888648128684,-0.8726888648128684,0.20437884330749512,0.007202339172363281,3000,Class_1
XGBoost,Full,20,0.8788439724548681,-0.8788439724548681,0.2046804428100586,0.008131313323974609,4000,Class_1
XGBoost,Full,25,0.8767935976128195,-0.8767935976128195,0.22308039665222168,0.009398221969604492,5000,Class_1
XGBoost,Full,30,0.8747401576398414,-0.8747401576398414,0.23872852325439453,0.011182260513305665,6000,Class_1
XGBoost,Full,35,0.917826362132394,-0.917826362132394,0.2258896827697754,0.012054681777954102,7000,Class_1
XGBoost,Full,40,0.9424949496628953,-0.9424949496628953,0.23636627197265625,0.0133772611618042,8000,Class_1
